iter	Passed	Remaining
335	1439	2845
336	1444	2841
337	1447	2835
338	1451	2830
339	1454	2824
340	1459	2820
341	1463	2815
342	1467	2810
343	1470	2804
344	1475	2800
345	1479	2795
346	1482	2790
347	1486	2784
348	1496	2792
349	1499	2785
350	1503	2779
351	1507	2774
352	1511	2769
353	1514	2764
354	1518	2758
355	1522	2754
356	1526	2749
357	1530	2744
358	1534	2739
359	1538	2734
360	1542	2730
361	1546	2725
362	1550	2720
363	1555	2717
364	1559	2713
365	1563	2708
366	1567	2704
367	1573	2701
368	1577	2696
369	1580	2691
370	1585	2687
371	1590	2685
372	1594	2680
373	1598	2675
374	1603	2672
375	1607	2668
376	1611	2663
377	1615	2658
378	1620	2655
379	1624	2650
380	1628	2645
381	1632	2640
382	1637	2637
383	1640	2632
384	1644	2627
385	1648	2622
386	1652	2618
387	1656	2613
388	1660	2608
389	1665	2604
390	1669	2600
391	1672	2594
392	1677	2590
393	1681	2586
394	1686	2582
395	1690	2578
396	1695	2574
397	1700	2571
398	1704	2567
399	1709	2563
400	1713	2559
401	1718	2555
402	1722	2551
403	1726	2547
404	1731	2543
405	1735	2538
406	1739	2534
407	1742	2528
408	1747	2524
409	1751	2520
410	1754	2514
411	1758	2509
412	1761	2504
413	1766	2499
414	1770	2495
415	1774	2490
416	1778	2486
417	1782	2481
418	1786	2476
419	1789	2471
420	1793	2466
421	1812	2482
422	1815	2476
423	1818	2470
424	1821	2464
425	1825	2459
426	1830	2456
427	1833	2450
428	1837	2445
429	1841	2440
430	1845	2436
431	1849	2431
432	1852	2426
433	1857	2421
434	1861	2417
435	1865	2412
436	1868	2407
437	1872	2403
438	1877	2398
439	1881	2394
440	1884	2389
441	1888	2384
442	1893	2380
443	1897	2375
444	1901	2371
445	1904	2366
446	1909	2362
447	1913	2357
448	1917	2352
449	1920	2347
450	1925	2343
451	1929	2338
452	1932	2334
453	1936	2329
454	1941	2325
455	1944	2320
456	1948	2315
457	1952	2310
458	1956	2305
459	1960	2301
460	1963	2296
461	1967	2291
462	1971	2286
463	1975	2282
464	1979	2277
465	1983	2273
466	1988	2269
467	1992	2264
468	1995	2259
469	1999	2254
470	2004	2251
471	2009	2247
472	2012	2242
473	2017	2238
474	2021	2233
475	2024	2229
476	2028	2224
477	2031	2218
478	2037	2215
479	2041	2211
480	2045	2207
481	2050	2203
482	2054	2198
483	2058	2194
484	2061	2189
485	2066	2185
486	2070	2180
487	2074	2176
488	2077	2171
489	2082	2167
490	2086	2163
491	2090	2158
492	2094	2153
493	2098	2149
494	2102	2144
495	2105	2139
496	2109	2134
497	2113	2130
498	2117	2125
499	2120	2120
500	2124	2115
501	2127	2110
502	2131	2106
503	2135	2101
504	2139	2096
505	2142	2092
506	2147	2087
507	2150	2083
508	2154	2078
509	2158	2073
510	2163	2070
511	2168	2066
512	2172	2061
513	2175	2057
514	2179	2052
515	2183	2048
516	2187	2043
517	2190	2038
518	2195	2034
519	2198	2029
520	2202	2025
521	2206	2020
522	2210	2015
523	2214	2011
524	2218	2007
525	2222	2002
526	2226	1998
527	2230	1993
528	2234	1989
529	2238	1984
530	2242	1981
531	2246	1976
532	2250	1971
533	2253	1966
534	2258	1962
535	2262	1958
536	2266	1954
537	2270	1949
538	2274	1945
539	2278	1940
540	2282	1936
541	2285	1931
542	2291	1928
543	2295	1923
544	2298	1919
545	2302	1914
546	2307	1910
547	2310	1905
548	2314	1901
549	2318	1896
550	2322	1892
551	2326	1888
552	2330	1883
553	2333	1878
554	2338	1874
555	2342	1870
556	2345	1865
557	2349	1860
558	2353	1856
559	2357	1852
560	2361	1847
561	2365	1843
562	2369	1839
563	2373	1834
564	2377	1830
565	2380	1825
566	2384	1821
567	2388	1816
568	2392	1812
569	2396	1807
570	2400	1803
571	2404	1799
572	2408	1794
573	2412	1790
574	2416	1786
575	2420	1781
576	2424	1777
577	2428	1772
578	2431	1768
579	2435	1763
580	2439	1759
581	2442	1754
582	2446	1749
583	2450	1745
584	2454	1740
585	2457	1736
586	2461	1731
587	2465	1727
588	2469	1723
589	2473	1718
590	2477	1714
591	2481	1710
592	2485	1705
593	2488	1701
594	2492	1696
595	2496	1692
596	2499	1687
597	2503	1683
598	2507	1678
599	2510	1673
600	2516	1670
601	2519	1665
602	2523	1661
603	2526	1656
604	2531	1652
605	2534	1648
606	2538	1643
607	2542	1638
608	2546	1635
609	2550	1630
610	2553	1625
611	2557	1621
612	2562	1617
613	2566	1613
614	2570	1609
615	2573	1604
616	2578	1600
617	2582	1596
618	2586	1591
619	2590	1587
620	2595	1583
621	2598	1579
622	2602	1575
623	2606	1570
624	2612	1567
625	2616	1563
626	2619	1558
627	2624	1554
628	2629	1550
629	2633	1546
630	2637	1542
631	2642	1538
632	2646	1534
633	2650	1529
634	2653	1525
635	2659	1522
636	2663	1517
637	2667	1513
638	2672	1509
639	2677	1505
640	2680	1501
641	2684	1497
642	2689	1493
643	2693	1488
644	2697	1484
645	2701	1480
646	2707	1477
647	2711	1473
648	2715	1468
649	2721	1465
650	2725	1461
651	2730	1457
652	2735	1453
653	2740	1449
654	2744	1445
655	2748	1441
656	2753	1437
657	2758	1433
658	2762	1429
659	2766	1425
660	2771	1421
661	2775	1417
662	2779	1412
663	2783	1408
664	2788	1404
665	2792	1400
666	2796	1396
667	2801	1392
668	2805	1388
669	2809	1383
670	2812	1379
671	2817	1375
672	2822	1371
673	2826	1367
674	2829	1362
675	2834	1358
676	2838	1354
677	2842	1349
678	2846	1345
679	2851	1341
680	2854	1337
681	2858	1332
682	2862	1328
683	2867	1324
684	2871	1320
685	2875	1316
686	2879	1311
687	2884	1307
688	2887	1303
689	2891	1299
690	2895	1294
691	2900	1290
692	2903	1286
693	2907	1281
694	2911	1277
695	2916	1273
696	2920	1269
697	2923	1264
698	2927	1260
699	2932	1256
700	2936	1252
701	2939	1247
702	2943	1243
703	2948	1239
704	2951	1235
705	2955	1230
706	2959	1226
707	2963	1222
708	2967	1218
709	2971	1213
710	2974	1209
711	2979	1205
712	2983	1200
713	2987	1196
714	2991	1192
715	2996	1188
716	3001	1184
717	3005	1180
718	3010	1176
719	3014	1172
720	3018	1168
721	3022	1163
722	3027	1160
723	3031	1155
724	3035	1151
725	3038	1146
726	3043	1142
727	3047	1138
728	3050	1134
729	3054	1129
730	3059	1125
731	3063	1121
732	3067	1117
733	3071	1113
734	3076	1109
735	3080	1104
736	3084	1100
737	3087	1096
738	3092	1092
739	3096	1087
740	3100	1083
741	3103	1079
742	3110	1075
743	3113	1071
744	3117	1067
745	3121	1062
746	3125	1058
747	3128	1054
748	3132	1049
749	3136	1045
750	3140	1041
751	3143	1036
752	3147	1032
753	3151	1028
754	3161	1025
755	3165	1021
756	3169	1017
757	3173	1013
758	3176	1008
759	3180	1004
760	3184	1000
761	3197	998
762	3202	994
763	3206	990
764	3210	986
765	3215	982
766	3219	978
767	3223	973
768	3227	969
769	3232	965
770	3236	961
771	3240	957
772	3244	952
773	3249	948
774	3254	944
775	3258	940
776	3264	936
777	3268	932
778	3272	928
779	3276	924
780	3281	920
781	3285	915
782	3288	911
783	3292	907
784	3296	902
785	3300	898
786	3304	894
787	3307	889
788	3312	885
789	3316	881
790	3319	877
791	3323	872
792	3327	868
793	3331	864
794	3335	860
795	3338	855
796	3342	851
797	3347	847
798	3351	842
799	3354	838
800	3358	834
801	3362	830
802	3366	825
803	3369	821
804	3373	817
805	3378	813
806	3381	808
807	3385	804
808	3389	800
809	3394	796
810	3398	791
811	3401	787
812	3405	783
813	3410	779
814	3413	774
815	3417	770
816	3421	766
817	3426	762
818	3430	758
819	3433	753
820	3437	749
821	3441	745
822	3445	741
823	3449	736
824	3453	732
825	3457	728
826	3461	724
827	3465	719
828	3468	715
829	3473	711
830	3476	707
831	3480	702
832	3484	698
833	3488	694
834	3492	690
835	3496	685
836	3499	681
837	3504	677
838	3508	673
839	3511	668
840	3515	664
841	3519	660
842	3523	656
843	3527	652
844	3531	647
845	3535	643
846	3539	639
847	3542	635
848	3546	630
849	3550	626
850	3554	622
851	3558	618
852	3561	613
853	3565	609
854	3570	605
855	3573	601
856	3577	596
857	3580	592
858	3585	588
859	3589	584
860	3592	580
861	3596	575
862	3600	571
863	3604	567
864	3608	563
865	3612	558
866	3618	555
867	3622	550
868	3626	546
869	3630	542
870	3649	540
871	3652	536
872	3656	531
873	3659	527
874	3664	523
875	3668	519
876	3672	515
877	3676	510
878	3680	506
879	3685	502
880	3688	498
881	3694	494
882	3699	490
883	3703	485
884	3707	481
885	3711	477
886	3715	473
887	3719	469
888	3724	465
889	3729	460
890	3733	456
891	3738	452
892	3742	448
893	3747	444
894	3751	440
895	3756	435
896	3761	431
897	3765	427
898	3770	423
899	3774	419
900	3779	415
901	3784	411
902	3788	406
903	3793	402
904	3797	398
905	3801	394
906	3805	390
907	3809	386
908	3814	381
909	3818	377
910	3822	373
911	3828	369
912	3832	365
913	3836	361
914	3841	356
915	3846	352
916	3850	348
917	3854	344
918	3859	340
919	3863	335
920	3867	331
921	3871	327
922	3877	323
923	3882	319
924	3888	315
925	3893	311
926	3898	307
927	3904	302
928	3909	298
929	3914	294
930	3919	290
931	3925	286
932	3930	282
933	3934	278
934	3939	273
935	3943	269
936	3947	265
937	3951	261
938	3956	257
939	3960	252
940	3964	248
941	3969	244
942	3973	240
943	3977	235
944	3980	231
945	3985	227
946	3989	223
947	3993	219
948	3996	214
949	4000	210
950	4005	206
951	4009	202
952	4012	197
953	4016	193
954	4021	189
955	4025	185
956	4028	181
957	4033	176
958	4038	172
959	4041	168
960	4045	164
961	4050	160
962	4054	155
963	4058	151
964	4062	147
965	4067	143
966	4071	138
967	4075	134
968	4079	130
969	4083	126
970	4087	122
971	4090	117
972	4094	113
973	4099	109
974	4103	105
975	4107	100
976	4111	96
977	4115	92
978	4119	88
979	4123	84
980	4127	79
981	4131	75
982	4135	71
983	4139	67
984	4151	63
985	4154	58
986	4158	54
987	4163	50
988	4167	46
989	4172	42
990	4177	37
991	4181	33
992	4186	29
993	4190	25
994	4195	21
995	4213	16
996	4217	12
997	4221	8
998	4225	4
999	4229	0
