iter	RMSE
354	3159.587257
355	3158.110039
356	3155.580621
357	3153.422977
358	3151.816329
359	3150.212132
360	3147.911871
361	3145.911775
362	3143.658064
363	3141.684039
364	3140.348198
365	3136.837239
366	3134.859253
367	3133.045538
368	3131.653993
369	3130.391868
370	3129.311274
371	3127.397027
372	3124.89791
373	3124.52617
374	3124.0287
375	3122.114042
376	3120.355661
377	3118.508159
378	3115.737832
379	3112.935438
380	3110.994128
381	3109.685689
382	3108.410015
383	3107.432273
384	3104.994488
385	3104.425475
386	3103.006456
387	3100.776482
388	3098.764714
389	3096.279659
390	3095.624116
391	3094.163269
392	3093.413126
393	3091.579809
394	3089.665738
395	3087.519402
396	3084.457453
397	3083.725845
398	3081.452403
399	3078.613983
400	3077.028054
401	3075.627841
402	3074.27504
403	3072.041652
404	3069.896189
405	3068.197247
406	3065.849981
407	3065.66074
408	3063.493093
409	3061.544749
410	3060.277333
411	3059.709505
412	3058.758385
413	3058.434098
414	3056.962053
415	3056.145965
416	3054.056221
417	3053.384747
418	3051.378876
419	3049.550333
420	3048.144246
421	3046.001408
422	3045.184121
423	3043.003372
424	3042.875187
425	3040.715357
426	3037.947292
427	3036.683362
428	3034.583404
429	3033.599582
430	3031.21033
431	3030.268672
432	3029.287805
433	3027.385895
434	3025.963197
435	3024.771996
436	3023.212205
437	3020.259294
438	3018.954281
439	3016.38688
440	3014.768177
441	3013.817181
442	3011.358127
443	3010.012201
444	3008.630519
445	3006.798981
446	3005.827473
447	3002.871191
448	3002.755732
449	3001.008164
450	2999.180454
451	2997.201705
452	2994.738852
453	2992.74486
454	2990.746971
455	2988.302626
456	2987.62227
457	2986.148426
458	2982.926302
459	2981.242106
460	2979.223158
461	2976.923326
462	2976.362931
463	2974.106905
464	2972.044478
465	2969.654092
466	2968.552593
467	2966.810598
468	2965.394392
469	2963.717415
470	2962.287763
471	2961.490346
472	2959.710639
473	2957.785221
474	2956.076797
475	2956.002116
476	2954.647887
477	2953.417838
478	2951.694132
479	2949.436262
480	2947.279238
481	2945.479769
482	2944.990114
483	2942.727372
484	2941.795384
485	2939.933002
486	2938.217118
487	2936.354421
488	2934.270994
489	2932.792504
490	2931.421608
491	2930.358389
492	2929.206909
493	2927.40726
494	2927.242372
495	2924.695399
496	2923.176461
497	2921.677586
498	2920.609107
499	2919.420389
500	2918.07841
501	2916.411053
502	2916.146253
503	2914.717891
504	2912.698293
505	2911.436071
506	2910.471769
507	2908.260419
508	2905.916809
509	2904.193059
510	2902.93794
511	2901.322948
512	2901.104518
513	2899.148345
514	2897.976526
515	2896.022542
516	2893.863408
517	2892.55592
518	2890.136542
519	2888.737786
520	2887.55826
521	2885.929419
522	2884.786198
523	2883.79788
524	2882.383793
525	2880.77656
526	2879.246838
527	2877.996781
528	2876.785623
529	2874.854458
530	2872.823858
531	2871.489698
532	2870.719132
533	2869.307484
534	2867.695432
535	2866.411585
536	2864.512791
537	2863.566436
538	2861.974992
539	2860.982993
540	2859.950938
541	2858.438602
542	2856.58219
543	2855.601676
544	2854.499821
545	2852.625811
546	2850.925038
547	2850.763969
548	2849.498713
549	2848.21334
550	2846.966357
551	2845.360947
552	2844.34046
553	2843.250401
554	2842.108113
555	2840.617815
556	2838.647927
557	2837.579596
558	2836.282911
559	2834.214551
560	2833.045645
561	2831.395289
562	2829.752635
563	2827.746858
564	2826.944999
565	2826.223316
566	2824.218573
567	2822.471757
568	2819.987834
569	2818.78463
570	2816.421133
571	2814.236975
572	2812.370424
573	2810.865817
574	2809.057015
575	2807.955168
576	2806.007589
577	2804.802587
578	2803.581124
579	2802.677238
580	2801.398031
581	2801.286214
582	2801.135582
583	2799.766723
584	2799.175577
585	2798.054831
586	2796.681364
587	2796.561573
588	2794.105948
589	2792.6885
590	2791.001333
591	2790.89548
592	2789.794036
593	2788.114453
594	2786.340299
595	2783.816195
596	2783.676812
597	2782.226345
598	2781.324109
599	2779.130999
600	2778.206598
601	2777.393366
602	2776.336208
603	2775.47873
604	2773.429629
605	2771.876025
606	2770.190288
607	2769.700914
608	2768.175874
609	2766.83925
610	2765.082597
611	2763.366232
612	2762.531974
613	2760.895545
614	2757.993444
615	2756.212313
616	2755.200628
617	2752.596
618	2752.553877
619	2750.945234
620	2749.535456
621	2749.065401
622	2747.915605
623	2747.853774
624	2746.623966
625	2745.639343
626	2744.655604
627	2742.510288
628	2741.847348
629	2740.406986
630	2738.865254
631	2737.372929
632	2735.885234
633	2734.531535
634	2733.447829
635	2732.762799
636	2731.353713
637	2729.115879
638	2727.417492
639	2725.855428
640	2724.700262
641	2723.682845
642	2722.440747
643	2721.166426
644	2720.645061
645	2719.584056
646	2718.225025
647	2716.761377
648	2715.432215
649	2713.883555
650	2712.851804
651	2711.351697
652	2709.482987
653	2708.770674
654	2708.045698
655	2706.947981
656	2704.970803
657	2703.365971
658	2702.159928
659	2700.293267
660	2699.055582
661	2697.416302
662	2696.12551
663	2694.660971
664	2693.215539
665	2692.177574
666	2691.951412
667	2691.107452
668	2689.634212
669	2688.736652
670	2688.317869
671	2686.999018
672	2685.636536
673	2684.464933
674	2682.948539
675	2681.869286
676	2679.228858
677	2677.592638
678	2676.44328
679	2674.777875
680	2673.342545
681	2671.791261
682	2670.497872
683	2669.052482
684	2668.076987
685	2667.070332
686	2666.231193
687	2664.739371
688	2663.768878
689	2662.730056
690	2661.544327
691	2660.27628
692	2659.469974
693	2658.616491
694	2657.319911
695	2655.868267
696	2654.494479
697	2653.942673
698	2652.921726
699	2651.291722
700	2649.72436
701	2648.888317
702	2647.271012
703	2646.386007
704	2645.522073
705	2644.173739
706	2643.093906
707	2642.26867
708	2641.332584
709	2640.383011
710	2639.539049
711	2638.138079
712	2636.879092
713	2635.66233
714	2634.7512
715	2633.308893
716	2632.085097
717	2631.25543
718	2629.850702
719	2628.682616
720	2627.897946
721	2626.649357
722	2624.882162
723	2623.782197
724	2622.62459
725	2621.762833
726	2621.080181
727	2618.540498
728	2616.579509
729	2616.497647
730	2615.168141
731	2613.875871
732	2612.51372
733	2611.231795
734	2610.249545
735	2609.222839
736	2608.118408
737	2606.560985
738	2604.218712
739	2603.032432
740	2601.579501
741	2599.79629
742	2598.793568
743	2598.120299
744	2596.674958
745	2595.638422
746	2595.086157
747	2594.12743
748	2593.061798
749	2591.815264
750	2589.749304
751	2589.550054
752	2588.592549
753	2587.736386
754	2586.870719
755	2586.092079
756	2583.723297
757	2582.484931
758	2581.225505
759	2580.338635
760	2578.845944
761	2576.740503
762	2575.288701
763	2574.197598
764	2572.721163
765	2571.841639
766	2571.217991
767	2570.457116
768	2569.632696
769	2567.386967
770	2565.63827
771	2565.172965
772	2563.796838
773	2562.96358
774	2561.153773
775	2559.974868
776	2558.843345
777	2557.36363
778	2556.157939
779	2554.982685
780	2553.774349
781	2552.355188
782	2551.273473
783	2551.102228
784	2549.665375
785	2548.566102
786	2547.296523
787	2545.755326
788	2544.653932
789	2543.906576
790	2542.890626
791	2542.030049
792	2540.646016
793	2538.959509
794	2537.830239
795	2536.638984
796	2534.188009
797	2533.672956
798	2532.784051
799	2531.992448
800	2530.742574
801	2529.475296
802	2528.782618
803	2527.641466
804	2526.529745
805	2525.667092
806	2524.309929
807	2523.262904
808	2522.253824
809	2521.746416
810	2519.888744
811	2518.483276
812	2517.470745
813	2516.314766
814	2514.844803
815	2513.585174
816	2512.274317
817	2511.241962
818	2510.146338
819	2509.033379
820	2508.064243
821	2507.724202
822	2506.610259
823	2505.090387
824	2503.970794
825	2502.653467
826	2501.401076
827	2500.131003
828	2499.451434
829	2497.578319
830	2495.900835
831	2495.232283
832	2493.279578
833	2491.915937
834	2491.052914
835	2489.784408
836	2488.647519
837	2488.31699
838	2486.996325
839	2486.351808
840	2485.097842
841	2484.084214
842	2482.384038
843	2481.210989
844	2479.646169
845	2478.894061
846	2477.901976
847	2477.119424
848	2475.947216
849	2474.963748
850	2474.128026
851	2473.207507
852	2472.40162
853	2471.762145
854	2470.957776
855	2469.774206
856	2469.286728
857	2468.738647
858	2467.515173
859	2466.401591
860	2465.553481
861	2464.437344
862	2463.113816
863	2461.681509
864	2461.076652
865	2459.709042
866	2458.629443
867	2458.15092
868	2457.250033
869	2455.868817
870	2454.759688
871	2453.268961
872	2452.703262
873	2452.125601
874	2450.822996
875	2449.936126
876	2448.619814
877	2447.079125
878	2446.421896
879	2445.046059
880	2444.203914
881	2443.02646
882	2441.971515
883	2440.918609
884	2439.296955
885	2438.37767
886	2437.175274
887	2435.958003
888	2434.388693
889	2433.500136
890	2432.281944
891	2431.303825
892	2429.717936
893	2428.720435
894	2427.099385
895	2424.970351
896	2424.328509
897	2422.481906
898	2421.797879
899	2421.003863
900	2419.207811
901	2418.250524
902	2417.566844
903	2416.526109
904	2415.438489
905	2414.254439
906	2413.841204
907	2413.185213
908	2411.713786
909	2410.547619
910	2409.378629
911	2408.175975
912	2406.97093
913	2405.834441
914	2405.406475
915	2404.48287
916	2403.507293
917	2402.385866
918	2400.849363
919	2399.4528
920	2398.029245
921	2397.186233
922	2396.289541
923	2395.724045
924	2394.53959
925	2394.141554
926	2392.985273
927	2392.240953
928	2391.052447
929	2389.678989
930	2388.961989
931	2388.059717
932	2387.231478
933	2386.025824
934	2385.103433
935	2384.258297
936	2383.174886
937	2381.69521
938	2380.792575
939	2379.846311
940	2378.667593
941	2377.967571
942	2377.719615
943	2376.052189
944	2375.043748
945	2375.018616
946	2373.753504
947	2372.281705
948	2371.666363
949	2370.650415
950	2369.73109
951	2368.780157
952	2368.565162
953	2367.769619
954	2366.884337
955	2365.823459
956	2365.182598
957	2364.130662
958	2363.331207
959	2362.642553
960	2361.436938
961	2359.011652
962	2358.061919
963	2356.990909
964	2355.350177
965	2353.919489
966	2352.989429
967	2351.917974
968	2351.244003
969	2350.412527
970	2349.683525
971	2348.018034
972	2347.053308
973	2345.775657
974	2344.944678
975	2344.229125
976	2342.919832
977	2342.051025
978	2341.063901
979	2339.950059
980	2339.039928
981	2338.046027
982	2337.25011
983	2336.530186
984	2335.580178
985	2334.585039
986	2333.880562
987	2332.223585
988	2330.996132
989	2330.098211
990	2329.429657
991	2328.719086
992	2328.008655
993	2327.349423
994	2326.346511
995	2325.745894
996	2324.748305
997	2323.423849
998	2322.765559
999	2320.265242
